2014-06-30 22:06:17,681 INFO           anuga.utilities.log:0   |Logfile is './anuga.log' with logging level of INFO, console logging level is CRITICAL
2014-06-30 22:06:18,202 CRITICAL            generic_domain:281 |Domain: Set defaults
2014-06-30 22:06:18,202 CRITICAL            generic_domain:336 |Domain: Set work arrays
2014-06-30 22:06:18,202 CRITICAL            generic_domain:352 |Domain: Initialising quantity values
2014-06-30 22:06:18,202 CRITICAL            generic_domain:355 |Domain: Done
2014-06-30 22:06:18,301 CRITICAL            generic_domain:76  |Domain: Initialising
2014-06-30 22:06:18,301 CRITICAL              pmesh2domain:93  |Pmesh_to_Domain: Initialising
2014-06-30 22:06:18,302 CRITICAL              pmesh2domain:103 |Pmesh_to_Domain: Done
2014-06-30 22:06:18,302 CRITICAL              general_mesh:85  |General_mesh: Building basic mesh structure
2014-06-30 22:06:18,302 INFO                  general_mesh:92  |#@# numTriangles, 9
2014-06-30 22:06:18,302 CRITICAL              general_mesh:147 |General_mesh: Computing areas, normals, edgelengths, centroids and radii
2014-06-30 22:06:18,303 CRITICAL              general_mesh:372 |General Mesh: Building inverted triangle structure
2014-06-30 22:06:18,303 INFO                  general_mesh:375 |#@# aoi, '2.89254424359'
2014-06-30 22:06:18,303 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:18,304 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:18,304 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
2014-06-30 22:06:18,304 CRITICAL            neighbour_mesh:168 |Mesh: Building boundary dictionary
2014-06-30 22:06:18,304 CRITICAL            neighbour_mesh:175 |Mesh: Building tagged elements dictionary
2014-06-30 22:06:18,304 CRITICAL            neighbour_mesh:193 |Mesh: Done
2014-06-30 22:06:18,305 INFO                neighbour_mesh:194 |#@# finishMesh, '2014-06-30 22:06:18'
2014-06-30 22:06:18,305 INFO                neighbour_mesh:195 |Resource usage: memory=813.6MB resident=76.3MB stacksize=0.1MB
2014-06-30 22:06:18,305 INFO                neighbour_mesh:195 |#@# sys_platform, linux2
2014-06-30 22:06:18,305 INFO                neighbour_mesh:195 |#@# finishMesh_memory, 813.55859375
2014-06-30 22:06:18,305 INFO                neighbour_mesh:195 |#@# finishMesh_resident, 76.34375
2014-06-30 22:06:18,306 INFO                neighbour_mesh:195 |#@# finishMesh_stacksize, 0.13671875
2014-06-30 22:06:18,306 CRITICAL            generic_domain:109 |Domain: Expose mesh attributes
2014-06-30 22:06:18,306 CRITICAL            generic_domain:144 |Domain: Expose quantity names and types
2014-06-30 22:06:18,306 CRITICAL            generic_domain:170 |Domain: Build Quantities
2014-06-30 22:06:18,306 CRITICAL            generic_domain:213 |Domain: Set up communication buffers 
2014-06-30 22:06:18,307 CRITICAL            generic_domain:228 |Domain: Set up triangle/node full flags 
2014-06-30 22:06:18,307 CRITICAL            generic_domain:281 |Domain: Set defaults
2014-06-30 22:06:18,307 CRITICAL            generic_domain:336 |Domain: Set work arrays
2014-06-30 22:06:18,307 CRITICAL            generic_domain:352 |Domain: Initialising quantity values
2014-06-30 22:06:18,307 CRITICAL            generic_domain:355 |Domain: Done
2014-06-30 22:06:18,408 CRITICAL            generic_domain:76  |Domain: Initialising
2014-06-30 22:06:18,408 CRITICAL              pmesh2domain:93  |Pmesh_to_Domain: Initialising
2014-06-30 22:06:18,409 CRITICAL              pmesh2domain:103 |Pmesh_to_Domain: Done
2014-06-30 22:06:18,409 CRITICAL              general_mesh:85  |General_mesh: Building basic mesh structure
2014-06-30 22:06:18,409 INFO                  general_mesh:92  |#@# numTriangles, 10
2014-06-30 22:06:18,409 CRITICAL              general_mesh:147 |General_mesh: Computing areas, normals, edgelengths, centroids and radii
2014-06-30 22:06:18,412 CRITICAL              general_mesh:372 |General Mesh: Building inverted triangle structure
2014-06-30 22:06:18,412 INFO                  general_mesh:375 |#@# aoi, '2.93892626146'
2014-06-30 22:06:18,413 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:18,413 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:18,414 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
2014-06-30 22:06:18,415 CRITICAL            neighbour_mesh:168 |Mesh: Building boundary dictionary
2014-06-30 22:06:18,415 CRITICAL            neighbour_mesh:175 |Mesh: Building tagged elements dictionary
2014-06-30 22:06:18,416 CRITICAL            neighbour_mesh:193 |Mesh: Done
2014-06-30 22:06:18,416 INFO                neighbour_mesh:194 |#@# finishMesh, '2014-06-30 22:06:18'
2014-06-30 22:06:18,417 INFO                neighbour_mesh:195 |Resource usage: memory=813.6MB resident=76.3MB stacksize=0.1MB
2014-06-30 22:06:18,418 INFO                neighbour_mesh:195 |#@# sys_platform, linux2
2014-06-30 22:06:18,418 INFO                neighbour_mesh:195 |#@# finishMesh_memory, 813.55859375
2014-06-30 22:06:18,419 INFO                neighbour_mesh:195 |#@# finishMesh_resident, 76.34765625
2014-06-30 22:06:18,419 INFO                neighbour_mesh:195 |#@# finishMesh_stacksize, 0.13671875
2014-06-30 22:06:18,420 CRITICAL            generic_domain:109 |Domain: Expose mesh attributes
2014-06-30 22:06:18,420 CRITICAL            generic_domain:144 |Domain: Expose quantity names and types
2014-06-30 22:06:18,420 CRITICAL            generic_domain:170 |Domain: Build Quantities
2014-06-30 22:06:18,422 CRITICAL            generic_domain:213 |Domain: Set up communication buffers 
2014-06-30 22:06:18,422 CRITICAL            generic_domain:228 |Domain: Set up triangle/node full flags 
2014-06-30 22:06:18,422 CRITICAL            generic_domain:281 |Domain: Set defaults
2014-06-30 22:06:18,422 CRITICAL            generic_domain:336 |Domain: Set work arrays
2014-06-30 22:06:18,422 CRITICAL            generic_domain:352 |Domain: Initialising quantity values
2014-06-30 22:06:18,422 CRITICAL            generic_domain:355 |Domain: Done
2014-06-30 22:06:18,524 CRITICAL            generic_domain:76  |Domain: Initialising
2014-06-30 22:06:18,524 CRITICAL              pmesh2domain:93  |Pmesh_to_Domain: Initialising
2014-06-30 22:06:18,525 CRITICAL              pmesh2domain:103 |Pmesh_to_Domain: Done
2014-06-30 22:06:18,525 CRITICAL              general_mesh:85  |General_mesh: Building basic mesh structure
2014-06-30 22:06:18,525 INFO                  general_mesh:92  |#@# numTriangles, 11
2014-06-30 22:06:18,526 CRITICAL              general_mesh:147 |General_mesh: Computing areas, normals, edgelengths, centroids and radii
2014-06-30 22:06:18,526 CRITICAL              general_mesh:372 |General Mesh: Building inverted triangle structure
2014-06-30 22:06:18,527 INFO                  general_mesh:375 |#@# aoi, '2.97352449601'
2014-06-30 22:06:18,527 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:18,527 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:18,527 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
